iter	Logloss
0	0.674737349
1	0.6595775811
2	0.6444951784
3	0.6310784622
4	0.6191665216
5	0.609851507
6	0.6012488239
7	0.5944294429
8	0.5865855428
9	0.5819438488
10	0.5754823031
11	0.5697894908
12	0.5647131763
13	0.5600442347
14	0.5564611238
15	0.5527200944
16	0.5493888782
17	0.5470849151
18	0.5447163196
19	0.5432307925
20	0.5409246957
21	0.5388989333
22	0.5378349302
23	0.5360226764
24	0.5350762021
25	0.5334816665
26	0.5326954761
27	0.5317052521
28	0.5311523076
29	0.5305809836
30	0.5299714117
31	0.5291447763
32	0.5281688717
33	0.5272383865
34	0.5269512062
35	0.5263767215
36	0.5256263163
37	0.5252916558
38	0.5248793444
39	0.5244112871
40	0.5241108563
41	0.5239300295
42	0.5235565423
43	0.5233479653
44	0.5229120384
45	0.522704355
46	0.5222282776
47	0.5219147341
48	0.5216301071
49	0.5215160985
50	0.5214400586
51	0.5212021858
52	0.5210620957
53	0.5209489669
54	0.5208630872
55	0.5207546725
56	0.52059867
57	0.520520354
58	0.5202575733
59	0.5200339208
60	0.5199005867
61	0.5197483977
62	0.5195535973
63	0.5194517936
64	0.5193020491
65	0.5191732916
66	0.5190640132
67	0.5189559114
68	0.5188082657
69	0.5186199951
70	0.5185516776
71	0.5185034244
72	0.5184401544
73	0.5183700906
74	0.518339528
75	0.5182474332
76	0.5181701
77	0.5181384803
78	0.5181006507
79	0.5179380036
80	0.517858737
81	0.5178127374
82	0.5177576566
83	0.5176551253
84	0.5175761548
85	0.5175351861
86	0.5174950629
87	0.5174055613
88	0.5173481614
89	0.5173109032
90	0.5172025669
91	0.5171376561
92	0.5170900449
93	0.5170395714
94	0.5169883126
95	0.5168703333
96	0.5167873871
97	0.5166840085
98	0.5166735778
99	0.5166167747
100	0.5165107661
101	0.5165074016
102	0.5164772818
103	0.5164657188
104	0.5163901387
105	0.5162858802
106	0.5162017052
107	0.5161813294
108	0.5161763989
109	0.5161517908
110	0.516074145
111	0.5160628922
112	0.5160532987
113	0.5160046663
114	0.5158895542
115	0.5158331962
116	0.5157999467
117	0.5157389301
118	0.5157007599
119	0.5156607622
120	0.5155987233
121	0.5155171119
122	0.5154794932
123	0.5154723787
124	0.5154468574
125	0.5154071634
126	0.5153549294
127	0.5152978544
128	0.5152190417
129	0.5151627749
130	0.5150733864
131	0.5150400593
132	0.5150153165
133	0.5149576549
134	0.5149241407
135	0.5149019855
136	0.5148963302
137	0.5147786856
138	0.5147211286
139	0.5146669125
140	0.5146114699
141	0.5145487007
142	0.5145407625
143	0.514540043
144	0.5144738251
145	0.5144282218
146	0.5144026949
147	0.5143326957
148	0.514290644
149	0.5142105068
150	0.5142003235
151	0.5141717447
152	0.5140900167
153	0.5140230788
154	0.5139974176
155	0.5139518291
156	0.5138566572
157	0.5138422332
158	0.5137546765
159	0.5137074618
160	0.5135889392
161	0.5135400646
162	0.5134479869
163	0.5134081394
164	0.5133872647
165	0.5133681052
166	0.513358025
167	0.513320841
168	0.5132809984
169	0.5132354063
170	0.5131917685
171	0.5131722061
172	0.5130917579
173	0.5130025859
174	0.5129326872
175	0.512906179
176	0.5128774399
177	0.5128302865
178	0.5128014307
179	0.5127522665
180	0.512724518
181	0.51269726
182	0.5126489157
183	0.5126159054
184	0.5125827254
185	0.5125571166
186	0.5125211888
187	0.5124318385
188	0.5124113596
189	0.5124034291
190	0.5124017141
191	0.5123319957
192	0.5123276173
193	0.512271287
194	0.5122418041
195	0.5122049452
196	0.5121649526
197	0.5121385911
198	0.5121138735
199	0.5120081146
200	0.5119397455
201	0.5118431913
202	0.5117971618
203	0.5117492481
204	0.5116807454
205	0.5116581208
206	0.5116127381
207	0.5115393648
208	0.5114765551
209	0.5114162549
210	0.5113383475
211	0.5113082179
212	0.5112957413
213	0.5111769627
214	0.5111395222
215	0.5110704026
216	0.5110387038
217	0.5109402965
218	0.5108800936
219	0.5108326814
220	0.5107516701
221	0.5107217405
222	0.5106829784
223	0.51062753
224	0.51052434
225	0.5104841717
226	0.5103998103
227	0.510361845
228	0.5102870529
229	0.5101993615
230	0.510184172
231	0.5101795141
232	0.510164046
233	0.5100270249
234	0.5099736266
235	0.5098860416
236	0.5098460297
237	0.5097815471
238	0.5096325631
239	0.5095420725
240	0.5094237127
241	0.5093312865
242	0.5092735585
243	0.5092114645
244	0.5091328537
245	0.5090488058
246	0.5089570174
247	0.5089391951
248	0.5088640669
249	0.5087650483
250	0.5087042533
251	0.5086240352
252	0.5085336365
253	0.5085105249
254	0.5084449895
255	0.5084376926
256	0.5083158191
257	0.5082580649
258	0.5081529039
259	0.5080974049
260	0.5080411894
261	0.5079588655
262	0.5078469514
263	0.5077888027
264	0.507696972
265	0.5076095487
266	0.5075233494
267	0.5074915962
268	0.5074376821
269	0.5073583696
270	0.507311286
271	0.507180196
272	0.5070654176
273	0.5070275732
274	0.5069559486
275	0.5068608092
276	0.506784798
277	0.5066729171
278	0.5065441521
279	0.5063896182
280	0.5063457679
281	0.5063160371
282	0.5062485235
283	0.5061870663
284	0.5061212893
285	0.505989708
286	0.5058989423
287	0.5058174447
288	0.5057992847
289	0.5057573506
290	0.5056274382
291	0.5055992896
292	0.5055064753
293	0.5054321178
294	0.5053203498
295	0.5052912811
296	0.5052094766
297	0.5051603337
298	0.5051033467
299	0.5050030839
